Fecha;Indicador_600;Indicador_612;Indicador_613;Indicador_614;Indicador_1727
2024-01-01 00:00:00+00:00;0.01;45.54;46.54;50.09;43.96
2024-01-01 01:00:00+00:00;0.0;40.5;41.8;46.0;42.33
2024-01-01 02:00:00+00:00;-0.01;38.95;34.53;33.5;43.51
2024-01-01 03:00:00+00:00;-0.03;33.5;33.5;22.5;40.3
2024-01-01 04:00:00+00:00;-0.02;35.99;32.09;22.09;29.05
2024-01-01 05:00:00+00:00;-0.05;35.99;32.73;22.5;36.59
2024-01-01 06:00:00+00:00;-0.02;36.04;36.04;22.59;37.53
2024-01-01 07:00:00+00:00;0.0;38.91;33.37;24.74;39.21
2024-01-01 08:00:00+00:00;0.04;37.94;32.29;25.0;38.29
2024-01-01 09:00:00+00:00;0.06;25.0;15.0;5.64;25.17
2024-01-01 10:00:00+00:00;0.54;0.0;3.32;0.43;8.38
2024-01-01 11:00:00+00:00;2.24;3.2;3.2;0.43;4.73
2024-01-01 12:00:00+00:00;1.97;2.06;2.25;3.2;4.82
2024-01-01 13:00:00+00:00;1.13;1.73;1.73;1.73;4.79
2024-01-01 14:00:00+00:00;3.19;5.72;8.0;13.0;13.2
2024-01-01 15:00:00+00:00;40.0;18.49;18.49;19.49;27.82
2024-01-01 16:00:00+00:00;84.46;40.0;37.0;37.5;39.29
2024-01-01 17:00:00+00:00;61.74;49.5;48.5;58.0;51.41
2024-01-01 18:00:00+00:00;61.27;53.98;53.0;55.0;54.51
2024-01-01 19:00:00+00:00;59.97;60.9;56.25;61.3;59.85
2024-01-01 20:00:00+00:00;54.92;60.0;55.35;61.3;59.62
2024-01-01 21:00:00+00:00;47.65;47.51;47.52;61.3;52.1
2024-01-01 22:00:00+00:00;35.55;42.09;43.39;46.3;26.05
2024-01-01 23:00:00+00:00;29.39;37.01;37.96;42.8;33.52
2024-01-02 00:00:00+00:00;19.6;10.0;13.0;29.97;23.44
2024-01-02 01:00:00+00:00;27.33;0.06;0.0;7.0;1.65
2024-01-02 02:00:00+00:00;16.2;0.02;0.0;1.68;4.88
2024-01-02 03:00:00+00:00;9.5;0.0;0.0;3.2;5.61
