Fecha;Indicador_600;Indicador_612;Indicador_613;Indicador_614;Indicador_1727
2023-01-04 11:00:00+00:00;127.87;101.04;101.64;101.0;92.68
2023-01-04 12:00:00+00:00;119.08;100.01;101.0;100.0;83.72
2023-01-04 13:00:00+00:00;116.55;100.0;100.07;100.07;90.47
2023-01-04 14:00:00+00:00;127.99;98.9;98.71;98.71;86.88
2023-01-04 15:00:00+00:00;131.25;101.84;103.01;103.0;95.87
2023-01-04 16:00:00+00:00;150.2;124.82;123.33;122.55;116.96
2023-01-04 17:00:00+00:00;137.5;167.29;180.0;164.79;160.4
2023-01-04 18:00:00+00:00;129.49;160.6;170.0;157.61;159.7
2023-01-04 19:00:00+00:00;122.4;150.05;151.62;146.55;154.7
2023-01-04 20:00:00+00:00;129.39;140.0;140.61;128.11;139.99
2023-01-04 21:00:00+00:00;108.96;126.58;126.58;115.58;99.03
2023-01-04 22:00:00+00:00;106.0;104.75;104.75;100.0;81.79
2023-01-04 23:00:00+00:00;5.4;100.34;93.9;100.05;82.7
2023-01-05 00:00:00+00:00;3.63;85.0;78.9;94.89;77.07
2023-01-05 01:00:00+00:00;4.9;85.4;75.07;88.07;66.53
2023-01-05 02:00:00+00:00;0.0;71.07;69.99;89.27;60.68
2023-01-05 03:00:00+00:00;6.87;67.27;67.27;79.9;56.57
2023-01-05 04:00:00+00:00;16.32;84.43;71.93;87.87;65.37
2023-01-05 05:00:00+00:00;67.8;95.05;90.3;90.0;76.77
2023-01-05 06:00:00+00:00;119.9;107.66;103.23;108.23;103.82
2023-01-05 07:00:00+00:00;179.0;135.0;130.95;132.0;152.73
2023-01-05 08:00:00+00:00;171.04;123.26;122.11;120.29;133.13
2023-01-05 09:00:00+00:00;169.47;103.97;101.82;103.0;105.7
2023-01-05 10:00:00+00:00;154.0;113.53;109.53;103.53;109.96
2023-01-05 11:00:00+00:00;146.0;100.82;96.82;90.82;88.58
2023-01-05 12:00:00+00:00;145.1;96.45;92.44;86.5;92.15
2023-01-05 13:00:00+00:00;151.03;93.9;89.9;87.4;92.05
2023-01-05 14:00:00+00:00;159.48;91.16;87.16;81.16;97.14
2023-01-05 15:00:00+00:00;172.73;94.43;90.43;75.31;101.89
2023-01-05 16:00:00+00:00;222.1;118.0;118.9;103.0;126.73
2023-01-05 17:00:00+00:00;194.67;163.2;166.2;153.25;152.51
2023-01-05 18:00:00+00:00;177.98;177.98;178.13;168.98;157.92
2023-01-05 19:00:00+00:00;163.99;163.99;166.99;161.99;146.46
2023-01-05 20:00:00+00:00;152.0;152.0;155.0;150.0;140.84
2023-01-05 21:00:00+00:00;144.64;132.17;130.02;112.21;115.68
2023-01-05 22:00:00+00:00;127.0;113.92;113.9;104.9;103.77
2023-01-05 23:00:00+00:00;107.21;97.21;97.21;97.21;108.39
2023-01-06 00:00:00+00:00;101.1;92.0;91.77;98.77;103.53
2023-01-06 01:00:00+00:00;96.73;96.73;94.73;96.75;103.06
2023-01-06 02:00:00+00:00;81.42;81.37;81.36;86.37;88.15
2023-01-06 03:00:00+00:00;74.45;76.25;75.74;80.0;78.39
2023-01-06 04:00:00+00:00;78.32;81.5;80.99;81.0;87.52
2023-01-06 05:00:00+00:00;96.89;97.45;91.77;100.27;101.62
2023-01-06 06:00:00+00:00;107.02;98.62;103.82;107.82;116.68
2023-01-06 07:00:00+00:00;122.94;105.6;110.2;117.97;123.45
2023-01-06 08:00:00+00:00;166.4;110.0;103.1;100.0;124.49
2023-01-06 09:00:00+00:00;182.4;105.7;100.7;95.7;115.51
2023-01-06 10:00:00+00:00;163.67;105.05;100.05;106.5;115.98
2023-01-06 11:00:00+00:00;140.2;100.23;93.35;103.36;113.04
2023-01-06 12:00:00+00:00;135.0;90.23;85.25;100.27;102.74
2023-01-06 13:00:00+00:00;158.0;83.22;80.22;100.27;106.53
2023-01-06 14:00:00+00:00;170.4;75.0;70.0;91.07;97.19
2023-01-06 15:00:00+00:00;140.1;91.1;80.42;80.43;101.95
2023-01-06 16:00:00+00:00;155.93;121.4;115.0;95.0;118.94
2023-01-06 17:00:00+00:00;163.5;128.67;122.05;103.05;113.32
2023-01-06 18:00:00+00:00;146.74;137.73;130.84;137.88;145.16
2023-01-06 19:00:00+00:00;139.39;137.73;131.73;137.73;141.5
2023-01-06 20:00:00+00:00;131.84;132.0;127.0;122.0;123.28
2023-01-06 21:00:00+00:00;129.94;104.9;104.9;100.0;102.97
2023-01-06 22:00:00+00:00;121.31;100.23;96.1;96.09;91.43
2023-01-06 23:00:00+00:00;97.28;55.32;52.85;44.34;57.57
2023-01-07 00:00:00+00:00;98.16;42.31;39.73;27.23;50.72
2023-01-07 01:00:00+00:00;94.96;25.09;20.5;22.22;35.0
2023-01-07 02:00:00+00:00;83.86;24.8;27.03;25.1;26.26
2023-01-07 03:00:00+00:00;76.66;19.9;20.0;21.75;25.16
2023-01-07 04:00:00+00:00;69.88;16.0;14.85;21.5;25.38
2023-01-07 05:00:00+00:00;76.49;16.0;14.85;21.75;27.33
2023-01-07 06:00:00+00:00;92.53;16.0;18.0;21.75;35.15
2023-01-07 07:00:00+00:00;109.94;18.28;22.28;21.75;38.38
2023-01-07 08:00:00+00:00;112.87;20.2;25.2;21.75;45.76
2023-01-07 09:00:00+00:00;100.69;18.28;27.75;26.36;47.19
2023-01-07 10:00:00+00:00;88.32;17.0;27.5;21.7;37.61
2023-01-07 11:00:00+00:00;87.9;10.25;15.35;18.35;34.2
2023-01-07 12:00:00+00:00;74.29;8.0;27.5;16.0;29.14
2023-01-07 13:00:00+00:00;90.0;4.56;27.5;12.96;36.41
2023-01-07 14:00:00+00:00;86.9;3.26;15.0;6.41;8.09
2023-01-07 15:00:00+00:00;94.31;7.2;15.0;15.5;17.08
2023-01-07 16:00:00+00:00;98.32;23.51;27.5;24.8;22.86
2023-01-07 17:00:00+00:00;100.96;40.0;35.0;52.85;42.35
2023-01-07 18:00:00+00:00;96.0;43.85;43.46;67.35;70.9
2023-01-07 19:00:00+00:00;89.1;50.2;50.01;75.0;69.62
2023-01-07 20:00:00+00:00;62.98;43.45;43.46;70.12;54.38
2023-01-07 21:00:00+00:00;51.2;30.0;30.01;36.55;34.26
2023-01-07 22:00:00+00:00;38.79;23.51;33.0;35.61;29.5
2023-01-07 23:00:00+00:00;11.55;2.2;6.37;4.16;7.21
2023-01-08 00:00:00+00:00;9.07;0.2;2.0;2.0;2.84
2023-01-08 01:00:00+00:00;9.1;0.0;1.8;2.0;1.91
2023-01-08 02:00:00+00:00;3.46;0.0;0.0;2.0;2.53
2023-01-08 03:00:00+00:00;2.8;0.0;0.0;0.0;3.28
2023-01-08 04:00:00+00:00;5.08;0.0;0.0;0.0;3.49
2023-01-08 05:00:00+00:00;9.02;0.0;0.0;0.0;7.41
2023-01-08 06:00:00+00:00;16.47;0.0;0.0;0.0;4.3
2023-01-08 07:00:00+00:00;50.23;0.0;0.0;0.0;2.21
2023-01-08 08:00:00+00:00;83.02;0.0;0.2;1.0;4.66
2023-01-08 09:00:00+00:00;93.88;0.35;2.0;2.0;3.6
2023-01-08 10:00:00+00:00;103.87;0.25;2.0;2.0;2.79
2023-01-08 11:00:00+00:00;101.69;0.15;2.0;2.0;3.06
2023-01-08 12:00:00+00:00;99.0;0.2;2.3;2.0;3.7
2023-01-08 13:00:00+00:00;104.29;0.2;2.0;2.0;1.67
2023-01-08 14:00:00+00:00;103.33;0.2;2.0;1.95;2.48
2023-01-08 15:00:00+00:00;108.43;0.2;2.0;1.22;3.02
2023-01-08 16:00:00+00:00;118.72;2.35;6.35;4.85;4.56
2023-01-08 17:00:00+00:00;122.76;7.88;17.38;12.8;9.53
2023-01-08 18:00:00+00:00;109.44;12.11;17.91;12.91;8.26
2023-01-08 19:00:00+00:00;104.41;20.0;25.55;25.55;27.76
