ID,Nombre
158,Generación programada PHF2 Derivados del petróleo ó carbón
159,Generación programada PHF2 Subproductos minería
160,Generación programada PHF2 Energía residual
161,Generación programada PHF2 Biomasa
162,Generación programada PHF2 Biogás
163,Generación programada PHF2 Residuos domésticos y similares
164,Generación programada PHF2 Residuos varios
165,Generación programada PHF2 Consumo bombeo
166,Generación programada PHF2 Enlace Baleares
167,Generación programada PHF2 Genéricas
168,Generación programada PHF2 Importación Francia
169,Generación programada PHF2 Importación Portugal
170,Generación programada PHF2 Importación Marruecos
171,Generación programada PHF2 Importación Andorra
172,Generación programada PHF2 Exportación Francia
173,Generación programada PHF2 Exportación Portugal
174,Generación programada PHF2 Exportación Marruecos
175,Generación programada PHF2 Exportación Andorra
176,Generación programada PHF3 Hidráulica UGH
177,Generación programada PHF3 Hidráulica no UGH
178,Generación programada PHF3 Turbinación bombeo
179,Generación programada PHF3 Nuclear
180,Generación programada PHF3 Hulla antracita Anexo II RD 134/2010
181,Generación programada PHF3 Hulla sub-bituminosa Anexo II RD 134/2010
182,Generación programada PHF3 Hulla antracita
183,Generación programada PHF3 Hulla sub-bituminosa
184,Generación programada PHF3 Ciclo combinado
185,Generación programada PHF3 Fuel
186,Generación programada PHF3 Gas Natural
187,Generación programada PHF3 Eólica terrestre
188,Generación programada PHF3 Eólica marina
189,Generación programada PHF3 Solar fotovoltaica
190,Generación programada PHF3 Solar térmica
191,Generación programada PHF3 Océano y geotérmica
192,Generación programada PHF3 Gas Natural Cogeneración
193,Generación programada PHF3 Derivados del petróleo ó carbón
194,Generación programada PHF3 Subproductos minería
195,Generación programada PHF3 Energía residual
196,Generación programada PHF3 Biomasa
197,Generación programada PHF3 Biogás
198,Generación programada PHF3 Residuos domésticos y similares
199,Generación programada PHF3 Residuos varios
200,Generación programada PHF3 Consumo bombeo
201,Generación programada PHF3 Enlace Baleares
202,Generación programada PHF3 Genéricas
203,Generación programada PHF3 Importación Francia
204,Generación programada PHF3 Importación Portugal
205,Generación programada PHF3 Importación Marruecos
206,Generación programada PHF3 Importación Andorra
207,Generación programada PHF3 Exportación Francia
208,Generación programada PHF3 Exportación Portugal
209,Generación programada PHF3 Exportación Marruecos
210,Generación programada PHF3 Exportación Andorra
211,Generación programada PHF4 Hidráulica UGH
212,Generación programada PHF4 Hidráulica no UGH
213,Generación programada PHF4 Turbinación bombeo
214,Generación programada PHF4 Nuclear
215,Generación programada PHF4 Hulla antracita Anexo II RD 134/2010
216,Generación programada PHF4 Hulla sub-bituminosa Anexo II RD 134/2010
217,Generación programada PHF4 Hulla antracita
218,Generación programada PHF4 Hulla sub-bituminosa
